"Toon_idx";"Toon_name";"Toon_category";"Toon_link";"Toon_update";"Toon_newupdate";"Toon_exist";"Toon_imagelink";"Toon_platform";"Toon_likes"
1083;"호랑이형님";"#판타지#코미디/일상";"https://comic.naver.com/webtoon/list?titleId=650305";1;0;1;"https://image-comic.pstatic.net/webtoon/650305/thumbnail/thumbnail_IMAG21_3631086797392995425.jpg";1;0
1084;"99강화나무몽둥이";"#판타지";"https://comic.naver.com/webtoon/list?titleId=792651";1;0;1;"https://image-comic.pstatic.net/webtoon/792651/thumbnail/thumbnail_IMAG21_218f18ef-7f68-4d6a-972c-686a3e9f6138.jpg";1;0
1085;"초인의 시대";"#액션#판타지";"https://comic.naver.com/webtoon/list?titleId=730694";1;0;1;"https://image-comic.pstatic.net/webtoon/730694/thumbnail/thumbnail_IMAG21_e6fc219d-e5ea-4d93-b7d6-45b595c2a3cb.jpeg";1;0
1086;"마도전생기";"#액션";"https://comic.naver.com/webtoon/list?titleId=807777";1;0;1;"https://image-comic.pstatic.net/webtoon/807777/thumbnail/thumbnail_IMAG21_e47489ea-bf97-4726-a8e7-6403092a303a.jpg";1;0
1087;"망나니 소교주로 환생했다";"#액션";"https://comic.naver.com/webtoon/list?titleId=773796";1;0;1;"https://image-comic.pstatic.net/webtoon/773796/thumbnail/thumbnail_IMAG21_8ecfa6b5-8018-4640-8a4b-97e14d06a4c5.jpg";1;0
1088;"작전명 순정";"#로맨스";"https://comic.naver.com/webtoon/list?titleId=793275";1;0;1;"https://image-comic.pstatic.net/webtoon/793275/thumbnail/thumbnail_IMAG21_30c77a8d-ada1-40f8-b87a-d02bb05e7e13.jpg";1;0
1089;"아홉수 우리들";"#로맨스#드라마";"https://comic.naver.com/webtoon/list?titleId=724815";1;0;1;"https://image-comic.pstatic.net/webtoon/724815/thumbnail/thumbnail_IMAG21_4bdd52f2-bbc9-4524-b44b-adc1e7208f93.jpg";1;0
1090;"귀환했는데 입대 전날이다";"#판타지";"https://comic.naver.com/webtoon/list?titleId=807393";1;0;1;"https://image-comic.pstatic.net/webtoon/807393/thumbnail/thumbnail_IMAG21_aff8a206-014c-471f-9e91-c569940ad8e5.jpg";1;0
1091;"얼짱시대";"#드라마";"https://comic.naver.com/webtoon/list?titleId=813335";1;0;1;"https://image-comic.pstatic.net/webtoon/813335/thumbnail/thumbnail_IMAG21_aa6adfc2-a77f-47cb-bb2e-97214f27b301.jpg";1;0
1092;"마님이네 미국 시골집 이야기";"#코미디/일상";"https://comic.naver.com/webtoon/list?titleId=814048";1;0;1;"https://image-comic.pstatic.net/webtoon/814048/thumbnail/thumbnail_IMAG21_234ffc80-64de-4765-b059-6888ae0a9fae.jpg";1;0
